,Parameters,RMSE,Slope
72,"[ 0.83733839  0.82412318  0.83416967  0.8456371   0.8559174   1.10375
  0.88775794  0.88        0.89        0.80171545]",1073.486582,0.9726969
73,"[ 0.83733839  0.82412318  0.83416967  0.8456371   0.8559174   1.10375
  0.88775794  0.88        0.89        0.80171545]",1073.486582,0.9726969
74,"[ 0.88733839  0.82412318  0.83416967  0.8456371   0.8559174   1.10375
  0.88775794  0.88        0.89        0.80171545]",1078.811856,0.967528971
75,"[ 0.83733839  0.87412318  0.83416967  0.8456371   0.8559174   1.10375
  0.88775794  0.88        0.89        0.80171545]",1074.530594,0.97201269
76,"[ 0.83733839  0.82412318  0.88416967  0.8456371   0.8559174   1.10375
  0.88775794  0.88        0.89        0.80171545]",1073.251542,0.971874529
77,"[ 0.83733839  0.82412318  0.83416967  0.8956371   0.8559174   1.10375
  0.88775794  0.88        0.89        0.80171545]",1077.370512,0.971591501
78,"[ 0.83733839  0.82412318  0.83416967  0.8456371   0.9059174   1.10375
  0.88775794  0.88        0.89        0.80171545]",1074.249669,0.972044638
79,"[ 0.83733839  0.82412318  0.83416967  0.8456371   0.8559174   1.15375
  0.88775794  0.88        0.89        0.80171545]",1073.075288,0.929902294
80,"[ 0.83733839  0.82412318  0.83416967  0.8456371   0.8559174   1.10375
  0.93775794  0.88        0.89        0.80171545]",1071.349371,0.970905101
81,"[ 0.83733839  0.82412318  0.83416967  0.8456371   0.8559174   1.10375
  0.88775794  0.93        0.89        0.80171545]",1073.486582,0.9726969
82,"[ 0.83733839  0.82412318  0.83416967  0.8456371   0.8559174   1.10375
  0.88775794  0.88        0.94        0.80171545]",1073.486582,0.9726969
83,"[ 0.83733839  0.82412318  0.83416967  0.8456371   0.8559174   1.10375
  0.88775794  0.88        0.89        0.85171545]",1073.866953,0.97263723
84,"[ 0.83733667  0.82412284  0.83416975  0.84563585  0.85591716  1.10375001
  0.88775863  0.88        0.89        0.80171545]",1073.486582,0.9726969
85,"[ 0.83733667  0.82412284  0.83416975  0.84563585  0.85591716  1.10375001
  0.88775863  0.88        0.89        0.80171545]",1073.486582,0.9726969
86,"[ 0.88733667  0.82412284  0.83416975  0.84563585  0.85591716  1.10375001
  0.88775863  0.88        0.89        0.80171545]",1078.811856,0.967528971
87,"[ 0.83733667  0.87412284  0.83416975  0.84563585  0.85591716  1.10375001
  0.88775863  0.88        0.89        0.80171545]",1074.530594,0.97201269
88,"[ 0.83733667  0.82412284  0.88416975  0.84563585  0.85591716  1.10375001
  0.88775863  0.88        0.89        0.80171545]",1073.251542,0.971874529
89,"[ 0.83733667  0.82412284  0.83416975  0.89563585  0.85591716  1.10375001
  0.88775863  0.88        0.89        0.80171545]",1077.370512,0.971591501
90,"[ 0.83733667  0.82412284  0.83416975  0.84563585  0.90591716  1.10375001
  0.88775863  0.88        0.89        0.80171545]",1074.249669,0.972044638
91,"[ 0.83733667  0.82412284  0.83416975  0.84563585  0.85591716  1.15375001
  0.88775863  0.88        0.89        0.80171545]",1073.075288,0.929902294
92,"[ 0.83733667  0.82412284  0.83416975  0.84563585  0.85591716  1.10375001
  0.93775863  0.88        0.89        0.80171545]",1071.349371,0.970905101
93,"[ 0.83733667  0.82412284  0.83416975  0.84563585  0.85591716  1.10375001
  0.88775863  0.93        0.89        0.80171545]",1073.486582,0.9726969
94,"[ 0.83733667  0.82412284  0.83416975  0.84563585  0.85591716  1.10375001
  0.88775863  0.88        0.94        0.80171545]",1073.486582,0.9726969
95,"[ 0.83733667  0.82412284  0.83416975  0.84563585  0.85591716  1.10375001
  0.88775863  0.88        0.89        0.85171545]",1073.866953,0.97263723
96,"[ 0.75        0.80700061  0.83802449  0.78193782  0.84340222  1.11049553
  0.92280977  0.88        0.89        0.79547709]",1060.675167,0.981157114
97,"[ 0.75        0.80700061  0.83802449  0.78193782  0.84340222  1.11049553
  0.92280977  0.88        0.89        0.79547709]",1060.675167,0.981157114
98,"[ 0.8         0.80700061  0.83802449  0.78193782  0.84340222  1.11049553
  0.92280977  0.88        0.89        0.79547709]",1060.161157,0.976929047
99,[ 0.75        0.85700061  0.83802449  0.78193782  0.84340222  1.11049553  0.92280977  0.88        0.89        0.79547709],1060.77418,0.980590055
