Index, Month, Rain_Zone, Year, Random Number, Fragment_Set,fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment
   11,    1,   11,    1,  0.732916,   10,   0.024,   0.008,   0.000,   0.000,   0.000,   0.016,   0.361,   0.151,   0.020,   0.191,   0.071,   0.020,   0.004,   0.000,   0.000,   0.000,   0.020,   0.044,   0.028,   0.000,   0.004,   0.008,   0.012,   0.000,   0.000,   0.004,   0.016,   0.000,   0.000,   0.000,   0.000
   12,    1,   12,    1,  0.504518,   10,   0.000,   0.009,   0.044,   0.000,   0.000,   0.183,   0.014,   0.064,   0.003,   0.000,   0.028,   0.075,   0.000,   0.008,   0.009,   0.024,   0.014,   0.004,   0.078,   0.096,   0.060,   0.005,   0.001,   0.092,   0.114,   0.014,   0.012,   0.004,   0.005,   0.030,   0.009
   13,    1,   13,    1,  0.370066,   10,   0.141,   0.000,   0.000,   0.030,   0.272,   0.000,   0.000,   0.000,   0.000,   0.000,   0.019,   0.147,   0.047,   0.023,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.048,   0.115,   0.016,   0.000,   0.000,   0.000,   0.080,   0.019,   0.000,   0.021,   0.025
   14,    1,   14,    1,  0.643849,   10,   0.033,   0.141,   0.071,   0.056,   0.024,   0.036,   0.132,   0.078,   0.001,   0.009,   0.047,   0.025,   0.094,   0.135,   0.045,   0.000,   0.000,   0.001,   0.001,   0.000,   0.015,   0.002,   0.010,   0.000,   0.000,   0.000,   0.024,   0.001,   0.019,   0.000,   0.001
   15,    1,   15,    1,  0.254943,   10,   0.091,   0.034,   0.032,   0.008,   0.008,   0.000,   0.011,   0.042,   0.014,   0.036,   0.000,   0.000,   0.000,   0.030,   0.000,   0.000,   0.009,   0.000,   0.017,   0.092,   0.000,   0.000,   0.000,   0.046,   0.230,   0.047,   0.047,   0.036,   0.036,   0.024,   0.111
   16,    1,   16,    1,  0.760671,   10,   0.047,   0.011,   0.015,   0.031,   0.091,   0.008,   0.001,   0.016,   0.017,   0.054,   0.013,   0.006,   0.007,   0.006,   0.000,   0.038,   0.104,   0.031,   0.085,   0.042,   0.023,   0.099,   0.142,   0.036,   0.014,   0.022,   0.000,   0.025,   0.000,   0.005,   0.014
   17,    1,   17,    1,  0.351994,   10,   0.177,   0.069,   0.002,   0.073,   0.014,   0.001,   0.000,   0.006,   0.000,   0.013,   0.000,   0.012,   0.013,   0.101,   0.002,   0.000,   0.000,   0.009,   0.003,   0.013,   0.000,   0.000,   0.082,   0.000,   0.073,   0.063,   0.041,   0.079,   0.086,   0.010,   0.057
   18,    1,   18,    1,  0.942520,   10,   0.005,   0.005,   0.014,   0.060,   0.000,   0.000,   0.000,   0.009,   0.143,   0.083,   0.000,   0.009,   0.014,   0.074,   0.028,   0.014,   0.009,   0.138,   0.000,   0.041,   0.000,   0.018,   0.000,   0.000,   0.000,   0.170,   0.023,   0.000,   0.023,   0.000,   0.120
    1,    1,    1,    1,  0.981668,   10,   0.006,   0.000,   0.006,   0.033,   0.000,   0.000,   0.100,   0.000,   0.106,   0.000,   0.006,   0.006,   0.000,   0.017,   0.033,   0.000,   0.094,   0.011,   0.000,   0.044,   0.017,   0.006,   0.011,   0.006,   0.028,   0.122,   0.183,   0.000,   0.011,   0.061,   0.094
    2,    1,    2,    1,  0.116498,   10,   0.000,   0.000,   0.043,   0.000,   0.000,   0.001,   0.162,   0.113,   0.151,   0.007,   0.000,   0.000,   0.071,   0.000,   0.004,   0.017,   0.007,   0.000,   0.000,   0.000,   0.143,   0.097,   0.078,   0.015,   0.024,   0.030,   0.003,   0.000,   0.028,   0.009,   0.000
    3,    1,    3,    1,  0.559623,   10,   0.005,   0.000,   0.005,   0.000,   0.000,   0.036,   0.089,   0.000,   0.010,   0.000,   0.036,   0.000,   0.000,   0.000,   0.000,   0.000,   0.099,   0.016,   0.073,   0.167,   0.167,   0.151,   0.005,   0.000,   0.021,   0.005,   0.005,   0.073,   0.016,   0.005,   0.016
    4,    1,    4,    1,  0.766911,   10,   0.000,   0.050,   0.000,   0.110,   0.018,   0.000,   0.000,   0.136,   0.000,   0.000,   0.036,   0.112,   0.000,   0.000,   0.000,   0.250,   0.000,   0.000,   0.068,   0.000,   0.000,   0.017,   0.201,   0.000,   0.000,   0.000,   0.000,   0.000,   0.004,   0.000,   0.000
    5,    1,    5,    1,  0.058629,   10,   0.034,   0.001,   0.001,   0.036,   0.072,   0.048,   0.019,   0.068,   0.154,   0.024,   0.000,   0.000,   0.025,   0.009,   0.003,   0.041,   0.008,   0.182,   0.001,   0.001,   0.104,   0.027,   0.093,   0.001,   0.000,   0.007,   0.027,   0.000,   0.008,   0.006,   0.001
    6,    1,    6,    1,  0.139265,   10,   0.017,   0.001,   0.088,   0.044,   0.000,   0.049,   0.010,   0.000,   0.014,   0.003,   0.008,   0.011,   0.063,   0.081,   0.013,   0.054,   0.031,   0.000,   0.038,   0.035,   0.003,   0.133,   0.017,   0.018,   0.029,   0.022,   0.012,   0.004,   0.053,   0.118,   0.034
    7,    1,    7,    1,  0.760452,   10,   0.088,   0.070,   0.000,   0.082,   0.018,   0.064,   0.047,   0.006,   0.000,   0.035,   0.076,   0.029,   0.018,   0.018,   0.000,   0.012,   0.012,   0.152,   0.000,   0.012,   0.041,   0.006,   0.000,   0.006,   0.000,   0.000,   0.058,   0.000,   0.029,   0.123,   0.000
    8,    1,    8,    1,  0.067308,   10,   0.000,   0.000,   0.000,   0.215,   0.000,   0.047,   0.142,   0.000,   0.000,   0.000,   0.109,   0.133,   0.000,   0.000,   0.000,   0.000,   0.000,   0.132,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.159,   0.000,   0.011,   0.004,   0.000,   0.000,   0.047
    9,    1,    9,    1,  0.914249,   10,   0.033,   0.066,   0.107,   0.074,   0.182,   0.025,   0.016,   0.041,   0.000,   0.000,   0.000,   0.000,   0.000,   0.008,   0.008,   0.016,   0.215,   0.025,   0.008,   0.016,   0.000,   0.050,   0.000,   0.058,   0.016,   0.000,   0.000,   0.000,   0.000,   0.000,   0.033
   10,    1,   10,    1,  0.898187,   10,   0.006,   0.064,   0.014,   0.000,   0.029,   0.012,   0.035,   0.012,   0.087,   0.009,   0.020,   0.078,   0.058,   0.003,   0.000,   0.014,   0.000,   0.009,   0.029,   0.049,   0.000,   0.006,   0.017,   0.049,   0.023,   0.017,   0.012,   0.020,   0.046,   0.069,   0.214
   11,    1,   11,    1,  0.732916,   10,   0.024,   0.008,   0.000,   0.000,   0.000,   0.016,   0.361,   0.151,   0.020,   0.191,   0.071,   0.020,   0.004,   0.000,   0.000,   0.000,   0.020,   0.044,   0.028,   0.000,   0.004,   0.008,   0.012,   0.000,   0.000,   0.004,   0.016,   0.000,   0.000,   0.000,   0.000
   12,    1,   12,    1,  0.504518,   10,   0.000,   0.009,   0.044,   0.000,   0.000,   0.183,   0.014,   0.064,   0.003,   0.000,   0.028,   0.075,   0.000,   0.008,   0.009,   0.024,   0.014,   0.004,   0.078,   0.096,   0.060,   0.005,   0.001,   0.092,   0.114,   0.014,   0.012,   0.004,   0.005,   0.030,   0.009
   13,    1,   13,    1,  0.370066,   10,   0.141,   0.000,   0.000,   0.030,   0.272,   0.000,   0.000,   0.000,   0.000,   0.000,   0.019,   0.147,   0.047,   0.023,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.048,   0.115,   0.016,   0.000,   0.000,   0.000,   0.080,   0.019,   0.000,   0.021,   0.025
   14,    1,   14,    1,  0.643849,   10,   0.033,   0.141,   0.071,   0.056,   0.024,   0.036,   0.132,   0.078,   0.001,   0.009,   0.047,   0.025,   0.094,   0.135,   0.045,   0.000,   0.000,   0.001,   0.001,   0.000,   0.015,   0.002,   0.010,   0.000,   0.000,   0.000,   0.024,   0.001,   0.019,   0.000,   0.001
   15,    1,   15,    1,  0.254943,   10,   0.091,   0.034,   0.032,   0.008,   0.008,   0.000,   0.011,   0.042,   0.014,   0.036,   0.000,   0.000,   0.000,   0.030,   0.000,   0.000,   0.009,   0.000,   0.017,   0.092,   0.000,   0.000,   0.000,   0.046,   0.230,   0.047,   0.047,   0.036,   0.036,   0.024,   0.111
   16,    1,   16,    1,  0.760671,   10,   0.047,   0.011,   0.015,   0.031,   0.091,   0.008,   0.001,   0.016,   0.017,   0.054,   0.013,   0.006,   0.007,   0.006,   0.000,   0.038,   0.104,   0.031,   0.085,   0.042,   0.023,   0.099,   0.142,   0.036,   0.014,   0.022,   0.000,   0.025,   0.000,   0.005,   0.014
   17,    1,   17,    1,  0.351994,   10,   0.177,   0.069,   0.002,   0.073,   0.014,   0.001,   0.000,   0.006,   0.000,   0.013,   0.000,   0.012,   0.013,   0.101,   0.002,   0.000,   0.000,   0.009,   0.003,   0.013,   0.000,   0.000,   0.082,   0.000,   0.073,   0.063,   0.041,   0.079,   0.086,   0.010,   0.057
   18,    1,   18,    1,  0.942520,   10,   0.005,   0.005,   0.014,   0.060,   0.000,   0.000,   0.000,   0.009,   0.143,   0.083,   0.000,   0.009,   0.014,   0.074,   0.028,   0.014,   0.009,   0.138,   0.000,   0.041,   0.000,   0.018,   0.000,   0.000,   0.000,   0.170,   0.023,   0.000,   0.023,   0.000,   0.120
    1,    2,    1,    1,  0.735958,   10,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.005,   0.000,   0.000,   0.000,   0.010,   0.337,   0.080,   0.005,   0.015,   0.095,   0.045,   0.030,   0.226,   0.075,   0.000,   0.010,   0.000,   0.005,   0.060,   0.000,   0.000
    2,    2,    2,    1,  0.116437,   10,   0.000,   0.000,   0.021,   0.049,   0.176,   0.079,   0.161,   0.036,   0.113,   0.001,   0.020,   0.001,   0.000,   0.024,   0.003,   0.000,   0.016,   0.036,   0.010,   0.006,   0.037,   0.020,   0.000,   0.013,   0.005,   0.026,   0.080,   0.066,   0.000,   0.000,   0.000
    3,    2,    3,    1,  0.794051,   10,   0.008,   0.000,   0.025,   0.000,   0.000,   0.029,   0.000,   0.141,   0.041,   0.050,   0.033,   0.054,   0.017,   0.033,   0.033,   0.000,   0.091,   0.000,   0.000,   0.000,   0.033,   0.000,   0.183,   0.058,   0.021,   0.054,   0.000,   0.095,   0.000,   0.000,   0.000
    4,    2,    4,    1,  0.260543,   10,   0.034,   0.000,   0.000,   0.084,   0.053,   0.141,   0.000,   0.000,   0.000,   0.000,   0.040,   0.067,   0.202,   0.080,   0.199,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.099,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000
    5,    2,    5,    1,  0.391421,   10,   0.062,   0.292,   0.076,   0.000,   0.003,   0.001,   0.016,   0.020,   0.034,   0.038,   0.000,   0.004,   0.002,   0.019,   0.054,   0.000,   0.000,   0.000,   0.099,   0.105,   0.001,   0.089,   0.010,   0.001,   0.002,   0.038,   0.034,   0.001,   0.000,   0.000,   0.000
    6,    2,    6,    1,  0.804108,   10,   0.000,   0.015,   0.000,   0.025,   0.000,   0.000,   0.077,   0.000,   0.000,   0.000,   0.001,   0.000,   0.000,   0.000,   0.064,   0.079,   0.060,   0.006,   0.087,   0.167,   0.020,   0.189,   0.079,   0.034,   0.013,   0.067,   0.000,   0.015,   0.001,   0.000,   0.000
    7,    2,    7,    1,  0.034000,   10,   0.285,   0.024,   0.081,   0.008,   0.000,   0.008,   0.000,   0.000,   0.057,   0.000,   0.008,   0.008,   0.089,   0.008,   0.130,   0.138,   0.081,   0.032,   0.000,   0.000,   0.000,   0.000,   0.000,   0.016,   0.000,   0.008,   0.016,   0.000,   0.000,   0.000,   0.000
    8,    2,    8,    1,  0.388453,   10,   0.155,   0.000,   0.000,   0.064,   0.000,   0.000,   0.242,   0.000,   0.000,   0.000,   0.028,   0.000,   0.000,   0.046,   0.060,   0.000,   0.000,   0.072,   0.000,   0.000,   0.000,   0.076,   0.181,   0.000,   0.000,   0.000,   0.000,   0.076,   0.000,   0.000,   0.000
    9,    2,    9,    1,  0.640857,   10,   0.046,   0.221,   0.115,   0.015,   0.000,   0.000,   0.023,   0.053,   0.069,   0.023,   0.015,   0.000,   0.008,   0.000,   0.023,   0.000,   0.000,   0.008,   0.069,   0.115,   0.031,   0.153,   0.000,   0.008,   0.000,   0.000,   0.008,   0.000,   0.000,   0.000,   0.000
   10,    2,   10,    1,  0.271335,   10,   0.003,   0.017,   0.036,   0.002,   0.008,   0.016,   0.027,   0.074,   0.022,   0.002,   0.028,   0.103,   0.024,   0.000,   0.000,   0.115,   0.000,   0.019,   0.031,   0.003,   0.000,   0.000,   0.094,   0.008,   0.019,   0.018,   0.013,   0.120,   0.196,   0.000,   0.000
   11,    2,   11,    1,  0.032129,   10,   0.034,   0.000,   0.000,   0.084,   0.053,   0.141,   0.000,   0.000,   0.000,   0.000,   0.040,   0.067,   0.202,   0.080,   0.199,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.099,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000
   12,    2,   12,    1,  0.531689,   10,   0.024,   0.049,   0.024,   0.000,   0.000,   0.024,   0.000,   0.000,   0.073,   0.000,   0.122,   0.049,   0.000,   0.049,   0.049,   0.049,   0.171,   0.049,   0.049,   0.024,   0.024,   0.000,   0.024,   0.073,   0.024,   0.024,   0.024,   0.000,   0.000,   0.000,   0.000
   13,    2,   13,    1,  0.552322,   10,   0.000,   0.006,   0.033,   0.000,   0.006,   0.148,   0.068,   0.010,   0.000,   0.000,   0.000,   0.013,   0.000,   0.026,   0.000,   0.036,   0.037,   0.230,   0.240,   0.048,   0.058,   0.032,   0.000,   0.008,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000
   14,    2,   14,    1,  0.651448,   10,   0.000,   0.028,   0.045,   0.000,   0.126,   0.124,   0.001,   0.012,   0.001,   0.026,   0.000,   0.014,   0.018,   0.021,   0.000,   0.000,   0.072,   0.277,   0.184,   0.013,   0.000,   0.003,   0.000,   0.000,   0.002,   0.001,   0.006,   0.027,   0.000,   0.000,   0.000
   15,    2,   15,    1,  0.178974,   10,   0.015,   0.000,   0.000,   0.000,   0.000,   0.028,   0.146,   0.041,   0.056,   0.000,   0.150,   0.004,   0.045,   0.021,   0.113,   0.030,   0.023,   0.023,   0.150,   0.029,   0.026,   0.023,   0.038,   0.000,   0.000,   0.000,   0.041,   0.000,   0.000,   0.000,   0.000
   16,    2,   16,    1,  0.074804,   10,   0.000,   0.000,   0.000,   0.030,   0.009,   0.070,   0.062,   0.005,   0.130,   0.057,   0.013,   0.017,   0.043,   0.061,   0.227,   0.000,   0.007,   0.033,   0.009,   0.030,   0.072,   0.003,   0.000,   0.000,   0.000,   0.020,   0.071,   0.031,   0.000,   0.000,   0.000
   17,    2,   17,    1,  0.333954,   10,   0.062,   0.000,   0.105,   0.015,   0.000,   0.064,   0.018,   0.001,   0.013,   0.006,   0.008,   0.000,   0.004,   0.104,   0.095,   0.103,   0.058,   0.080,   0.059,   0.001,   0.025,   0.000,   0.007,   0.049,   0.013,   0.058,   0.006,   0.039,   0.007,   0.000,   0.000
   18,    2,   18,    1,  0.690005,   10,   0.004,   0.000,   0.000,   0.000,   0.040,   0.044,   0.013,   0.013,   0.024,   0.000,   0.002,   0.004,   0.053,   0.045,   0.000,   0.000,   0.000,   0.209,   0.062,   0.000,   0.016,   0.000,   0.000,   0.000,   0.009,   0.091,   0.336,   0.038,   0.000,   0.000,   0.000
    1,    3,    1,    1,  0.699083,   10,   0.021,   0.000,   0.021,   0.021,   0.043,   0.092,   0.000,   0.007,   0.021,   0.000,   0.000,   0.036,   0.007,   0.043,   0.014,   0.000,   0.007,   0.036,   0.007,   0.057,   0.461,   0.021,   0.007,   0.007,   0.000,   0.000,   0.000,   0.000,   0.071,   0.000,   0.000
    2,    3,    2,    1,  0.182587,   10,   0.000,   0.139,   0.063,   0.000,   0.000,   0.037,   0.129,   0.000,   0.075,   0.019,   0.000,   0.000,   0.222,   0.000,   0.000,   0.117,   0.017,   0.000,   0.000,   0.063,   0.000,   0.000,   0.042,   0.000,   0.000,   0.000,   0.074,   0.000,   0.005,   0.000,   0.000
    3,    3,    3,    1,  0.801211,   10,   0.018,   0.231,   0.162,   0.022,   0.000,   0.000,   0.000,   0.000,   0.013,   0.020,   0.000,   0.000,   0.000,   0.000,   0.000,   0.043,   0.058,   0.043,   0.031,   0.000,   0.000,   0.000,   0.040,   0.050,   0.207,   0.005,   0.002,   0.012,   0.033,   0.000,   0.012
    4,    3,    4,    1,  0.932431,   10,   0.022,   0.012,   0.011,   0.014,   0.000,   0.015,   0.200,   0.000,   0.000,   0.001,   0.007,   0.018,   0.025,   0.020,   0.027,   0.005,   0.013,   0.106,   0.008,   0.027,   0.000,   0.013,   0.033,   0.034,   0.064,   0.130,   0.097,   0.016,   0.067,   0.003,   0.014
    5,    3,    5,    1,  0.906484,   10,   0.022,   0.206,   0.007,   0.007,   0.004,   0.000,   0.012,   0.013,   0.001,   0.000,   0.000,   0.000,   0.000,   0.000,   0.006,   0.185,   0.108,   0.007,   0.004,   0.002,   0.068,   0.006,   0.010,   0.206,   0.037,   0.000,   0.003,   0.040,   0.043,   0.000,   0.002
    6,    3,    6,    1,  0.346468,   10,   0.002,   0.043,   0.012,   0.000,   0.001,   0.003,   0.108,   0.042,   0.037,   0.147,   0.012,   0.008,   0.027,   0.122,   0.035,   0.009,   0.003,   0.162,   0.011,   0.022,   0.020,   0.000,   0.000,   0.000,   0.017,   0.021,   0.035,   0.028,   0.051,   0.018,   0.004
    7,    3,    7,    1,  0.375214,   10,   0.058,   0.083,   0.000,   0.000,   0.008,   0.083,   0.033,   0.033,   0.017,   0.017,   0.042,   0.008,   0.033,   0.158,   0.008,   0.008,   0.033,   0.083,   0.000,   0.000,   0.025,   0.017,   0.008,   0.008,   0.000,   0.025,   0.083,   0.000,   0.000,   0.017,   0.108
    8,    3,    8,    1,  0.112333,   10,   0.000,   0.145,   0.064,   0.000,   0.000,   0.024,   0.134,   0.000,   0.049,   0.022,   0.000,   0.000,   0.127,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.192,   0.015,   0.000,   0.000,   0.089,   0.000,   0.000,   0.044,   0.081,   0.013,   0.000,   0.000
    9,    3,    9,    1,  0.330329,   10,   0.000,   0.005,   0.000,   0.000,   0.536,   0.145,   0.014,   0.014,   0.029,   0.010,   0.010,   0.014,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.005,   0.053,   0.000,   0.000,   0.087,   0.005,   0.034,   0.000,   0.010,   0.014,   0.014,   0.000,   0.000
   10,    3,   10,    1,  0.960301,   10,   0.124,   0.000,   0.000,   0.067,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.083,   0.002,   0.000,   0.000,   0.000,   0.000,   0.000,   0.159,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.051,   0.234,   0.047,   0.000,   0.234,   0.000,   0.000
   11,    3,   11,    1,  0.640576,   10,   0.382,   0.086,   0.000,   0.007,   0.025,   0.049,   0.019,   0.011,   0.009,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.012,   0.012,   0.000,   0.002,   0.000,   0.001,   0.001,   0.030,   0.069,   0.000,   0.000,   0.000,   0.197,   0.000,   0.086
   12,    3,   12,    1,  0.864303,   10,   0.008,   0.008,   0.004,   0.000,   0.267,   0.183,   0.038,   0.031,   0.053,   0.004,   0.004,   0.008,   0.000,   0.004,   0.031,   0.019,   0.004,   0.000,   0.015,   0.031,   0.004,   0.000,   0.099,   0.031,   0.084,   0.012,   0.004,   0.027,   0.015,   0.004,   0.012
   13,    3,   13,    1,  0.452096,   10,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.122,   0.000,   0.000,   0.000,   0.153,   0.000,   0.071,   0.000,   0.000,   0.000,   0.149,   0.281,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.224
   14,    3,   14,    1,  0.585513,   10,   0.025,   0.000,   0.003,   0.000,   0.000,   0.000,   0.000,   0.014,   0.003,   0.005,   0.022,   0.014,   0.001,   0.027,   0.036,   0.063,   0.120,   0.212,   0.054,   0.053,   0.017,   0.089,   0.067,   0.000,   0.000,   0.015,   0.068,   0.008,   0.004,   0.040,   0.040
   15,    3,   15,    1,  0.505147,   10,   0.086,   0.057,   0.054,   0.032,   0.205,   0.000,   0.000,   0.000,   0.000,   0.117,   0.106,   0.000,   0.000,   0.032,   0.009,   0.019,   0.007,   0.000,   0.000,   0.032,   0.049,   0.000,   0.005,   0.000,   0.000,   0.029,   0.000,   0.155,   0.009,   0.000,   0.000
   16,    3,   16,    1,  0.254923,   10,   0.050,   0.146,   0.051,   0.008,   0.025,   0.001,   0.001,   0.023,   0.009,   0.001,   0.041,   0.029,   0.019,   0.013,   0.003,   0.000,   0.001,   0.003,   0.021,   0.084,   0.009,   0.030,   0.056,   0.041,   0.021,   0.056,   0.207,   0.009,   0.037,   0.005,   0.000
   17,    3,   17,    1,  0.230058,   10,   0.021,   0.076,   0.084,   0.001,   0.001,   0.000,   0.001,   0.002,   0.009,   0.042,   0.031,   0.027,   0.026,   0.143,   0.025,   0.202,   0.001,   0.121,   0.038,   0.047,   0.007,   0.001,   0.020,   0.009,   0.001,   0.000,   0.000,   0.000,   0.001,   0.009,   0.054
   18,    3,   18,    1,  0.842471,   10,   0.000,   0.032,   0.000,   0.000,   0.005,   0.000,   0.005,   0.005,   0.000,   0.026,   0.265,   0.079,   0.000,   0.016,   0.000,   0.000,   0.000,   0.000,   0.000,   0.143,   0.058,   0.042,   0.011,   0.000,   0.053,   0.037,   0.058,   0.111,   0.016,   0.026,   0.011
    1,    4,    1,    1,  0.911972,   10,   0.000,   0.007,   0.000,   0.000,   0.007,   0.007,   0.030,   0.015,   0.000,   0.038,   0.068,   0.023,   0.068,   0.038,   0.000,   0.120,   0.060,   0.053,   0.000,   0.030,   0.007,   0.331,   0.000,   0.000,   0.045,   0.053,   0.000,   0.000,   0.000,   0.000,   0.000
    2,    4,    2,    1,  0.518632,   10,   0.207,   0.026,   0.191,   0.038,   0.112,   0.002,   0.002,   0.003,   0.121,   0.034,   0.051,   0.026,   0.020,   0.001,   0.026,   0.000,   0.000,   0.026,   0.013,   0.013,   0.001,   0.000,   0.002,   0.002,   0.000,   0.015,   0.010,   0.006,   0.052,   0.000,   0.000
    3,    4,    3,    1,  0.321401,   10,   0.046,   0.013,   0.000,   0.010,   0.000,   0.019,   0.048,   0.000,   0.071,   0.000,   0.084,   0.046,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.006,   0.006,   0.013,   0.000,   0.235,   0.025,   0.126,   0.151,   0.101,   0.000
    4,    4,    4,    1,  0.511841,   10,   0.006,   0.012,   0.000,   0.000,   0.000,   0.027,   0.000,   0.021,   0.027,   0.006,   0.000,   0.000,   0.086,   0.018,   0.046,   0.000,   0.000,   0.000,   0.000,   0.263,   0.034,   0.000,   0.000,   0.107,   0.000,   0.000,   0.177,   0.073,   0.070,   0.024,   0.000
    5,    4,    5,    1,  0.984726,   10,   0.101,   0.000,   0.040,   0.000,   0.002,   0.132,   0.002,   0.085,   0.023,   0.023,   0.000,   0.000,   0.023,   0.023,   0.033,   0.001,   0.000,   0.001,   0.003,   0.000,   0.006,   0.001,   0.001,   0.031,   0.310,   0.001,   0.037,   0.019,   0.025,   0.077,   0.000
