SHED_NAME,actual_et_x,actual_et_y,actual_et,direct_net_infiltation,direct_soil_moisture,interception,net_infiltration_x,net_infiltration_y,net_infiltration,rainfall,runoff_x,runoff_y,runoff
Matuu - Faganeanea,0.7402088291915317,0.7402088291915317,0.766651621862812,0.09112137477310867,0.007721059989017199,0.825658904271005,5.042451472641151,5.042451472641151,4.8459045346418,8.590738127830987,2.1508207464086357,2.1508207464086357,2.2847351869060257
Nuuuli Pala,7.705845816684349,7.705845816684349,8.173379902360207,1.528433429068172,0.1577302254905621,3.5889913512842,30.737547149178535,30.737547149178535,31.580955332141492,54.73207021728829,15.001968086898746,15.001968086898746,12.365944889374141
Maloata,0.78963832196236,0.78963832196236,0.78963832196236,0.08163366246981651,0.0,1.0601291145154956,5.8616632822639385,5.8616632822639385,5.44853142323779,9.42237350058561,2.106926525370874,2.106926525370874,2.6043833877479585
Fagalii,0.6640019683361134,0.6640019683361134,0.6741956049564692,0.14153070322525138,0.002206017139725623,0.6927298253938243,3.240468208803518,3.240468208803518,3.1128611589544577,5.2672152200544655,0.9416310609201568,0.9416310609201568,1.0812921689237074
Afao - Asili,0.8871314099309482,0.8871314099309482,0.8904919091500891,0.04021017677135236,0.0011030085698637306,1.0003111194299135,5.704172047398004,5.704172047398004,5.360849609167455,9.144367533750856,1.7457022517922793,1.7457022517922793,2.118629453456658
Leone,8.340665861561991,8.340665861561991,8.408563395627812,1.2258487766181878,0.017648137117806106,2.8983829664264023,24.56166065138555,24.56166065138555,25.61321753875213,42.05881792891911,8.01260170399089,8.01260170399089,6.707020084132683
Poloa,0.3779146340976022,0.3779146340976022,0.3900164771433489,0.11930324244226695,0.002206017139720696,0.3422341473068222,1.4740514561877298,1.4740514561877298,1.4664057750860928,2.4209346789928143,0.3775690264113098,0.3775690264113098,0.38458232206106097
Nua - Seetaga,1.0575554259249011,1.0575554259249011,1.0610243880281955,0.04938536993802483,0.0011030085698625724,1.1421083848911693,5.277973220561314,5.277973220561314,4.978462271795055,8.74558397705184,1.389621669859799,1.389621669859799,1.702947796076326
Tafuna Plain,11.367098930018006,11.367098930018006,11.789786530705465,2.165759128510398,0.12243395125466805,0.7584544298126337,17.74520555247957,17.74520555247957,21.21715848876288,35.64016105236651,8.044776446760114,8.044776446760114,3.2414866580541006
Amanave,0.4024657665710037,0.4024657665710037,0.4157533432704956,0.053767990234434106,0.0033090257095835258,0.3402579232698466,1.3967489452276551,1.3967489452276551,1.361397518601183,2.3636903698825757,0.2955879133522032,0.2955879133522032,0.3014467272734435
Fagatele - Larsen,1.6912467156037987,1.6912467156037987,1.695030034635833,0.09982043527659885,0.0011030085698649438,0.8293227286744459,3.787336177229995,3.787336177229995,3.7743942216493442,7.258588714256042,1.1099759074350755,1.1099759074350755,1.1196437738982494
